query_id,minilm_ndcg,minilm_mrr,minilm_precision,system_ndcg,system_mrr,system_precision,system,ndcg_delta_vs_minilm,mrr_delta_vs_minilm,precision_delta_vs_minilm
q022,0.532758931541152,1.0,0.7,0.5713659474855157,1.0,0.8,bge_reranker_v2_m3,0.038607015944363776,0.0,0.10000000000000009
q023,0.8267618739379261,1.0,0.9,0.6636392549801206,1.0,0.9,bge_reranker_v2_m3,-0.16312261895780555,0.0,0.0
q024,0.4578202666038144,1.0,0.2,0.6060275257764357,1.0,0.3,bge_reranker_v2_m3,0.1482072591726213,0.0,0.09999999999999998
q025,0.7507254855161793,1.0,0.9,0.7998230467886543,1.0,0.8,bge_reranker_v2_m3,0.049097561272475,0.0,-0.09999999999999998
q026,0.5711601909662336,1.0,0.6,0.8006937664098819,1.0,0.7,bge_reranker_v2_m3,0.22953357544364827,0.0,0.09999999999999998
q027,0.8307078519737277,1.0,0.9,0.92663607790064,1.0,0.9,bge_reranker_v2_m3,0.0959282259269123,0.0,0.0
q028,0.9432379215722527,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.056762078427747276,0.0,0.0
q029,0.4138836150091173,1.0,0.6,0.5552661282147345,1.0,0.7,bge_reranker_v2_m3,0.14138251320561723,0.0,0.09999999999999998
q030,0.4396592698888862,1.0,0.1,0.6290102109696928,1.0,0.2,bge_reranker_v2_m3,0.18935094108080658,0.0,0.1
q031,0.5859914109963349,1.0,0.4,0.6968059689995061,1.0,0.6,bge_reranker_v2_m3,0.11081455800317119,0.0,0.19999999999999996
q032,0.17155910524333215,0.2,0.2,0.1564766229706159,0.125,0.2,bge_reranker_v2_m3,-0.015082482272716247,-0.07500000000000001,0.0
q033,0.7973791542685903,1.0,0.9,0.7748738868226045,1.0,0.9,bge_reranker_v2_m3,-0.0225052674459858,0.0,0.0
q034,0.13828930870401024,0.5,0.3,0.24961460450801393,0.25,0.5,bge_reranker_v2_m3,0.11132529580400369,-0.25,0.2
q035,0.393758437646072,1.0,0.3,0.6687607038361473,1.0,0.6,bge_reranker_v2_m3,0.2750022661900753,0.0,0.3
q036,0.9881397591602158,1.0,0.9,0.9465335237453274,1.0,0.7,bge_reranker_v2_m3,-0.04160623541488839,0.0,-0.20000000000000007
q037,0.6758704024811184,1.0,0.6,0.8205228949141826,1.0,0.8,bge_reranker_v2_m3,0.14465249243306422,0.0,0.20000000000000007
q038,0.8611375561264455,1.0,0.9,0.8205228949141826,1.0,0.8,bge_reranker_v2_m3,-0.04061466121226287,0.0,-0.09999999999999998
q039,1.0,1.0,0.1,1.0,1.0,0.1,bge_reranker_v2_m3,0.0,0.0,0.0
q040,0.5159958223394444,1.0,1.0,0.6285116549793416,1.0,0.8,bge_reranker_v2_m3,0.11251583263989717,0.0,-0.19999999999999996
q041,0.43332320239731226,1.0,1.0,0.342107473655145,1.0,0.9,bge_reranker_v2_m3,-0.09121572874216727,0.0,-0.09999999999999998
q042,0.34070375304690387,1.0,0.3,0.37775016076239887,1.0,0.4,bge_reranker_v2_m3,0.037046407715495,0.0,0.10000000000000003
q043,0.4264120970358327,1.0,1.0,0.7060003377572185,1.0,0.9,bge_reranker_v2_m3,0.2795882407213858,0.0,-0.09999999999999998
q044,1.0,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.0,0.0,0.0
q045,0.7846170207230129,1.0,0.7,1.0,1.0,1.0,bge_reranker_v2_m3,0.21538297927698713,0.0,0.30000000000000004
q046,1.0,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.0,0.0,0.0
q047,1.0,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.0,0.0,0.0
q048,0.955830517697074,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.044169482302926055,0.0,0.0
q049,0.5645252544249327,0.5,0.6,0.7760080286037017,1.0,0.9,bge_reranker_v2_m3,0.21148277417876893,0.5,0.30000000000000004
q050,1.0,1.0,0.2,1.0,1.0,0.2,bge_reranker_v2_m3,0.0,0.0,0.0
q051,0.9067533310829988,1.0,0.8,0.971006146547219,1.0,0.8,bge_reranker_v2_m3,0.06425281546422013,0.0,0.0
q052,0.9052116356304494,1.0,0.9,0.642186726668901,1.0,0.5,bge_reranker_v2_m3,-0.2630249089615484,0.0,-0.4
q053,0.6661044668987254,1.0,0.6,0.6910265131252155,1.0,0.6,bge_reranker_v2_m3,0.02492204622649008,0.0,0.0
q054,0.8854598815714875,1.0,0.3,0.9674679834891694,1.0,0.3,bge_reranker_v2_m3,0.08200810191768193,0.0,0.0
q055,1.0,1.0,1.0,1.0,1.0,1.0,bge_reranker_v2_m3,0.0,0.0,0.0
q056,0.7273298443105218,1.0,0.6,1.0,1.0,1.0,bge_reranker_v2_m3,0.27267015568947817,0.0,0.4
q057,0.7976000064097211,1.0,0.4,0.7702922130671234,1.0,0.4,bge_reranker_v2_m3,-0.027307793342597697,0.0,0.0
q058,0.6952122615635931,1.0,1.0,0.8254612838486164,1.0,1.0,bge_reranker_v2_m3,0.13024902228502333,0.0,0.0
q059,0.8062532112739409,1.0,0.8,0.6023081876151182,1.0,0.9,bge_reranker_v2_m3,-0.20394502365882272,0.0,0.09999999999999998
q060,0.5804490216608788,1.0,0.4,0.4730411448424917,0.25,0.6,bge_reranker_v2_m3,-0.10740787681838704,-0.75,0.19999999999999996
