video_id,video_title,available,comment_count,view_count
F57P9C4SAW4,Katy Perry - California Gurls (Official Music Video) ft. Snoop Dogg,True,174404.0,835761351.0
qGNnJF877dg,weekend getaway w the girls!,True,296.0,98035.0
9OgTLaedeVg,FUN Girls' Night On A BUDGET!,True,630.0,96250.0
bMZJ9QqsflM,Police Rescue 2 Girls Stuck In Chhindwara's Pench River Who Went In For A Selfie,True,76.0,16182.0
afKBOFONecE,FUNNY THINGS ONLY GIRLS UNDERSTAND || Girls' Struggles And Problems by 123 GO!,True,9559.0,31566379.0
z8jNKa6Nvzw,"[ENG SUB] My Girl 22 (Zhao Yiqin, Li Jiaqi) Dating a handsome but ""miserly"" CEO",True,2683.0,4583760.0
6kahnkJGiu0,COOL TRICKS AND HACKS YOU NEED TO TRY || Hacks For Smart Girls by 123 GO!,True,3497.0,7936401.0
MtlXssrc01M,Boy hands souvenir over to girl behind him,True,24234.0,22434041.0
0LcbrwwvNo8,Girls Problems with Long Legs and Short Legs / Short People vs Tall People Problems,False,,
3kZ2vL1GMWI,BEST RANDOM GIRLS SQUAD EVER - Joining Random Girls Squad Like A BOT - Jaguar Gaming PUBG Unbanned,True,219.0,111700.0
ZjuA_o6Jzyo,HAIM - Summer Girl,True,4928.0,13810649.0
-GGXQjmSytQ,Watch | MP Police Rescue Girls from River Who Went in for Selfie,True,5.0,28157.0
Hfwt7hqe52o,😍 Random Conqueror Girl Call me Noob and I challenge for Tdm Room 1vs3 | PUBGMOBILE | PART 6,True,8097.0,3483608.0
p4kVWCSzfK4,"David Guetta - Where Them Girls At ft. Nicki Minaj, Flo Rida (Official Video)",True,86132.0,411170338.0
ExJmET8boVw,"Rita Ora - Girls ft. Cardi B, Bebe Rexha & Charli XCX [Official Video]",True,42002.0,86970610.0
ZKxb0BJu2-I,Girls Like Girls - Juliantina,True,83.0,260083.0
KT6ReWCkE10,Girls Problems with Long Nails and Short Nails,True,5499.0,24548501.0
dFr0OzL1yWQ,Billie Eilish - all the good girls go to hell (Live From The American Music Awards/2019),True,36889.0,44648137.0
0t63oWosHA0,Pittsburgh Slim - Girls Kiss Girls,True,23848.0,147392185.0
4mlHvf6Jr9w,MLB | Girls Time,True,233.0,1906700.0
Y-fqWMaXb8A,"Tyga - Girls Have Fun (Official Video) ft. Rich The Kid, G-Eazy",True,19875.0,223762789.0
ejVktqDqzFs,"Does ""Hiccup Girl"" Jennifer Mee Deserve A Life Sentence!??",True,11008.0,1930876.0
cRJPvUlPVLc,🤬 Random GIRL GAMER Challenged this YouTuber and Made fun of Him in PUBG Mobile,True,4890.0,1085224.0
XJv7egX9FcQ,Periods Prank with girl | Funky Joker,False,,
kO6WzAvO1HQ,2 Best Smart Phones Under 20000 July 2020 | Tech Swami,True,182.0,32986.0
YF1sBlYZghg,"Cheapest IPhone X, Vivo, oppo, Mi, Oneplus, Samsung Smart Phones | Second hand mobile market | Delhi",True,2572.0,2069161.0
dUaTmh3aric,Stop buying expensive smart phones,True,2599.0,965559.0
W4NeW_9FQd0,Learn How to Operate Your 1st Android Smartphone | Tech Tak,True,204.0,318375.0
94GJhkmR1Xc,🔥🔥 Top 5 4G Smartphones only ₹ 3000,True,741.0,1680340.0
bw7nopG95Pw,Top Upcoming Smartphones - May 2020🔥🔥🔥,True,4940.0,792768.0
aeQnQ-vjtuY,Top 13 BEST Smartphones of 2020 (Mid Year).,True,9780.0,5853553.0
0sY0pTNDoWo,Top 5 Samsung Upcoming Smartphones - Sabse Saste Budget To Flagship Phones,True,384.0,78858.0
lFdEZPWTquU,"Top 6 Best Smartphones🔥 Under Rs 20,000 in India | Value For Money Phones💪",True,2881.0,375173.0
bLshNdVPGGc,"Top 6 Best BUDGET Smartphones📱 Under Rs.10,000 In India🔥 [JUNE 2020]",True,1546.0,261500.0
xbRFrsHyXY4,Top 5 Budget Smartphones 2020 - Under $500!,True,330.0,181555.0
eq1-rQ9wYI8,"TOP 5 UPCOMING PHONES under 20,000 in AUGUST 2020",True,418.0,73740.0
FXqoPVC72xs,I bought the cheapest smartphones on the planet.,True,15373.0,12944480.0
28HH-ufdeqc,Top 10+ Best Upcoming Smartphones Launches⚡⚡ August 2020 India 🔥🔥,True,399.0,141569.0
ccj9Bs_jNUY,Best Android Phones - Summer 2020,True,188.0,139702.0
M53_8laVluw,"Best Smartphones Under ₹15000⚡⚡⚡July 2020 | 90Hz vs Super Amoled | Samsung, Redmi, Poco, Realme",True,1217.0,144649.0
BPEP0HphcGs,Top Upcoming Smartphones - July 2020,True,163.0,33341.0
2jaHqwnbBN4,Top 5 BEST Smartphones of 2020.... So Far,True,1294.0,681385.0
qVILJPiGGDM,TOP 5 MOBILE PHONES UNDER 5000 BUDGET ⚡⚡⚡ 2019,True,1710.0,2723802.0
33Fl57fb7oY,Top 5 Best Smartphones Under ₹20000 Budget ⚡⚡⚡July 2020,True,6993.0,1779644.0
8ryF_Ro9dis,"Top Best Smartphones Under ₹15000 ⚡️ Samsung , Vivo , Redmi , Poco , Realme",True,2010.0,625337.0
CKwAEKGwj3U,#BoycottChina BEST NON-CHINESE SMARTPHONES to Buy in 2020 🔥 | Don't Buy Wrong Phone!,True,554.0,168433.0
0pss7E6IF_8,Top 20 BEST Smartphones of 2019.,True,6568.0,3155703.0
SLpnCzUW_6w,"Best Phones Under ₹ 30,000 (After 2020 GST Hike)",True,746.0,163781.0
y7WhxtTvfck,Top 5 Best Mobile Phones Under ₹15000 Budget ⚡⚡⚡ June 2020,True,10319.0,3452011.0
SBoMC80UaG0,TOP 6 BEST PHONES UNDER 20000 in July | Galti Mat Karna!  | GT Hindi,True,501.0,162880.0
4OnwUz-I2GI,Smartphone Awards 2019!,True,21924.0,7187479.0
CwpEJfvhaNc,"Top 10+ Upcoming Smartphone Launches in India August 2020 ""NON CHINESE""| Oneplus Ka Sasta 5G Kab?",True,1273.0,162395.0
N1hl2MINAQw,Best Budget Smartphones Under £300 (Summer 2020),True,536.0,292780.0
9nYHEb9LTM4,Top Upcoming Smartphones - June 2020🔥🔥🔥,True,9200.0,963198.0
BkCNQSqEKSA,Top 5 World Best Smartphones May 2020,True,250.0,717555.0
sUqrai5gkpw,Best Smartphones under 30000 in July 2020 | Best Flagship Mobiles under 30000,False,,
0-nqhBhdLs0,"Top 5 Best Flagship Phones Under 50,000 Budget ⚡⚡⚡ July 2020",True,2282.0,511109.0
7ym8Gg1UDWg,Top 5 Best Mobile Phones Under ₹10000 Budget ⚡⚡⚡ June 2020,True,4905.0,2363453.0
KhuDutYEbVA,Top Upcoming Smartphones August 2020🔥🔥🔥,True,102.0,45153.0
